"","AN_BR1_4","AN_BR1_5","AN_BR1_6","AN_BR1_8","AN_BR2_4","AN_BR2_5","AN_BR2_6","AN_BR2_8","AN_BR3_4","AN_BR3_5","AN_BR3_6","AN_BR3_8","BB_BR1_4","BB_BR1_5","BB_BR1_6","BB_BR1_8","BB_BR2_4","BB_BR2_5","BB_BR2_6","BB_BR2_8","BB_BR3_4","BB_BR3_5","BB_BR3_6","BB_BR3_8","ML_BR1_4","ML_BR1_5","ML_BR1_6","ML_BR1_8","ML_BR2_4","ML_BR2_5","ML_BR2_6","ML_BR2_8","ML_BR3_4","ML_BR3_5","ML_BR3_6","ML_BR3_8","AN_TR1_4","AN_TR1_5","AN_TR1_6","AN_TR1_8","AN_TR2_4","AN_TR2_5","AN_TR2_6","AN_TR2_8","AN_TR3_4","AN_TR3_5","AN_TR3_6","AN_TR3_8","BB_TR1_4","BB_TR1_5","BB_TR1_6","BB_TR1_8","BB_TR2_4","BB_TR2_5","BB_TR2_6","BB_TR2_8","BB_TR3_4","BB_TR3_5","BB_TR3_6","BB_TR3_8","ML_TR1_4","ML_TR1_5","ML_TR1_6","ML_TR1_8","ML_TR2_4","ML_TR2_5","ML_TR2_6","ML_TR2_8","ML_TR3_4","ML_TR3_5","ML_TR3_6","ML_TR3_8"
"ML_GL_S1_3_4_S363_L004_290",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5196168246088,21.4621389957583,22.3736279120197,7.8101840665783,30.7019073614025,16.7826767214089,15.8918638085193,16.8496290495706,13.7427976981324,10.9159578464753,7.51576734532343,12.1781007443561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_2917",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59331307480022,3.45081761543018,3.95766224854167,3.64343246093938,0,0,3.73981474560405,4.32632426205207,13.3905125315542,8.26663430202459,6.37571718175218,9.60357859057485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53996948593859,0,0,0,1.91894788790244,0,0,1.95007127765593,2.4809766703171,0,0,2.03930351022934
"ML_GL_S1_3_4_S363_L004_2954",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.99230015204358,5.54910700543741,2.91869467723035,7.49992639999303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_2992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.33263131936672,8.48054920139201,6.25010013270428,2.12820026782424,5.44210795219843,5.29190170540068,7.65273922600462,4.41261928783505,17.5026084587882,21.976312527432,7.36392243857965,19.1628675163594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2083260297075,4.84157702651888,7.25497693273441,5.97597423215693,4.75839417735385,3.32792368334784,3.33633390724385,3.8525791383096,2.74901807198431,3.57739674698131,5.49154925580481,3.62083240313979
"ML_GL_S1_3_4_S363_L004_2999",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2390354078933,8.76272223961083,14.6325419918217,5.37116281789254,31.4251797038981,14.4680556341597,17.7568426489654,17.8454502739211,20.1941635607051,16.7188802043881,12.1377905742148,12.7474968116235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10148713853561,3.02840487932104,0,5.38465115308516,2.72678148104461,0,6.21712405421968,4.74356629349727,3.60205805213586,3.99476130712988,5.01005992094879,4.25364235644619
"ML_GL_S1_3_4_S363_L004_3002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8737858109175,15.6755288295448,20.7214322589608,7.51439023831252,0,0,0,0,27.3983274996446,26.3476697929447,13.9511495894219,30.8879621038574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38380526886232,4.35266749230599,6.34086237363134,5.62345787664366,5.56839236151847,6.16883092630193,5.80702059647549,5.47771489651757,5.89538614044703,6.2445445302345,6.19365889997791,5.62083241534013
"ML_GL_S1_3_4_S363_L004_3010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6001890907857,4.57568545700966,5.24530590938746,2.81548570919285,0,0,2.24557127300463,0,9.87228270937611,12.8718060117877,3.70558358299177,11.6614025359444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_3037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2319309594806,2.46736157629592,0,0,12.3911420955379,9.81089642081931,7.19594384873417,9.99883487528868,17.7618323964098,18.6151042176377,7.4231129546974,12.175104950746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8986092887678,9.66189357789982,10.7551924046745,7.0344431279451,20.8988915595429,11.1848017989191,16.4356396981248,16.3441839216487,14.5031514396982,18.6771770242465,10.8634628402437,16.6012583425906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_3070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5172088639377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_3071",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.16197511001149,2.60764803835795,4.12456758247324,0,0,0,0,0,15.8737881563992,5.3530194941261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_3092",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.76587404937285,11.4066429292061,8.37474962778809,2.68364540407828,0,3.44249921746629,2.86205820285341,3.25778519937508,45.4380161871098,49.6883352588484,16.5130588901694,48.3234942288847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9688937305566,9.10212954137177,10.0010735741224,16.2653157077029,16.3790629768094,7.93050703536559,19.2257663929464,17.4305513594878,22.0241545225649,15.4929880704162,18.2225043680741,18.2425979451864
"ML_GL_S1_3_4_S363_L004_3102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4084591106752,20.1333755400054,8.16759917766541,16.3632724982096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_3117",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121.338034256547,108.724778616838,84.4316398690017,35.0125117619984,54.0392181187235,72.265379647276,67.3061849814668,70.001724527839,35.0192929958048,42.0442501709426,15.4998175173342,26.4573475684913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10298103911319,6.74647474023732,8.63937300528503,5.17086977518703,4.6900117352928,4.2603406805114,3.29168231709249,4.33577795665035,0,4.52911756659795,3.94311006176703,3.41205709538356
"ML_GL_S1_3_4_S363_L004_3120",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.70309835475631,5.13835703612681,5.72793176263001,4.55165743057598,7.97961188877714,11.938297305405,17.1646084858656,9.73538066487905,9.27619747827676,15.1585107800678,6.94523957915151,11.5598821176706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.36668896530887,2.31291355927037,3.87254707005374,0,3.79369918093695,3.61899207571981,3.89922623337553,0,3.28615274788792,2.4643631519844,2.85658601820368
"ML_GL_S1_3_4_S363_L004_3128",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7702803283799,18.3723060867003,7.61977282089619,10.9054262235378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_3131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.48500733084417,9.48849499172499,4.70072770952786,7.80039044473889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68314241295143,0,0,0,4.68769669400186,0
"ML_GL_S1_3_4_S363_L004_3150",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.465066206112,6.98814117288228,7.90533013412894,6.58096022160194,0,0,2.56296351239157,0,20.437362581567,26.4913942990164,15.9773334622272,27.5138641149627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1432286017014,16.1999270737009,9.40394612862143,13.0046135600179,3.79835103585429,11.4890425484201,16.0222809755448,21.3549190341635,5.56088782175616,15.5110549874467,7.32175107242104,12.4152765309416
"ML_GL_S1_3_4_S363_L004_3187",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.21859560560759,9.78676509674676,6.47776996278227,4.28587394283554,9.02945007492058,11.9212613068573,15.6120723903521,12.3065257096044,18.5684584858149,22.8264280137816,8.05706032605236,22.1258324063408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_320",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.30201809745142,3.46241946817671,4.44793576722066,1.65560268316766,11.8620049462356,6.33889543462626,7.47963459833753,6.39607904773926,10.8472782483475,9.04560640956094,4.50919940676838,7.73704309437604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.19515156518992,0,0,2.1768035919112,2.35177065750517,0,2.05318214913467,0,0
"ML_GL_S1_3_4_S363_L004_3220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7546273126236,6.25268110070656,4.60340972988138,2.47039352842143,2.94110190030208,4.58132173888398,3.6217498043045,0,11.72299667412,14.1053514244625,5.95626318470271,16.2302089621796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0828395947357,4.61790367398592,4.82064769473208,10.2939076860224,6.70835890272617,2.63758879075776,12.0184959957797,10.4296690915301,12.491648192707,8.71018486570802,13.7224036727589,10.1141278766308
"ML_GL_S1_3_4_S363_L004_3231",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1854740916163,28.1014837703389,9.50552872947413,4.20714302869416,24.4703826415028,12.6605394080067,13.4577838145375,25.1332120952692,12.2632016012869,2.3323620733978,6.24359560263089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51827915159878,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_3265",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9837782254911,14.5273150778182,6.99735677079589,13.5843795234584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_3284",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15589077837262,3.04276595895641,2.86395546502644,0,0,2.91299850565627,3.39169191747399,3.1241883295361,12.3222036895581,9.98603732269431,8.49237359721941,23.1682450523771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_32",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.01543737167624,5.98341503016136,4.08965315010866,1.73153835057052,0,0,2.69805242174172,0,10.6346982128273,11.8917132390309,4.81729550366617,11.0697281200481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28411377890176,0,2.79417714346965,0,6.16764436010598,0,2.76902673307404,3.50733570109654,12.4909497931508,8.96769492475799,6.48693287013345,13.9744030031017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65356553241333,5.63157391350062,4.61491180320227,9.53248104892824,9.96451335036812,10.881545277009,7.83987042535282,7.11171308539976,12.140107637149,7.37838955493797,8.93836144481837,7.66384617406796
"ML_GL_S1_3_4_S363_L004_333",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.92620944213938,0,0,0,20.87811057812,4.32937109423393,8.96115605906392,9.03329869807529,29.5248141374255,0,0,3.13638213578962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.48110423614299,0,0,2.33284854726065,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62445035062109,3.15802118916632,4.06536573860137,5.96376196114947,20.4278187367974,8.31996063320072,4.52750563592579,9.63061988119262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.67111222334457,0,0,4.88465817162636,4.0191317745856,2.18337397838442,4.70580220220989,4.16551283732897,6.05285013011523,3.49840689631506,5.91214456933674,3.42125975059334
"ML_GL_S1_3_4_S363_L004_3361",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8426030983892,2.39244759338792,0,1.71684865649333,4.36825321242818,2.78228008878744,0,2.61244380360046,36.2267481803902,14.3756605443516,5.18589289853983,10.0313187419174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.64074633845068,3.59386858371314,2.48981312356813,2.79870822182872,0,0,2.48423430879576,0,0,0,4.00419242057597,0
"ML_GL_S1_3_4_S363_L004_3362",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52398148304434,1.99697593209518,2.98387349258871,0,0,0,0,0,9.64040006567491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ML_GL_S1_3_4_S363_L004_3369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0087009660149,21.3284272205704,18.2117016780692,18.8474814606271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
