"","CB_BR1","GL_BR1","PB_BR1","SM_BR1","CB_BR2","GL_BR2","PB_BR2","SM_BR2","CB_BR3","GL_BR3","PB_BR3","SM_BR3","CB_TR1","CB_TR2","PB_TR1","PB_TR2","CB_TR3","CB_TR4","PB_TR3","PB_TR4","GL_TR1","GL_TR2","SM_TR1","SM_TR2","GL_TR3","GL_TR4","SM_TR3","SM_TR4"
"BB_BR1_CB_S108_L002_100",8.20406456561415,5.64104127121775,12.1068218052085,16.2228716169167,14.2099455725118,20.5827674586566,50.6208934192744,21.2368024911504,0,0,1.81093425655728,2.50048957022754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1010",24.8330267924447,30.2164334468999,9.04556215930343,17.2980125192526,5.44533543116739,4.36764621068701,2.95357272881152,3.45193667328715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1014",11.8679641826,12.8177245541535,7.75507597416399,9.20263397670116,15.0441511982935,21.4209800898195,12.9039794321974,14.6514186536945,12.9609485524093,10.1165307047197,26.0675681976254,20.0659613371951,87.1641783907644,79.4040749607663,85.6324387238701,73.9720181172776,60.6807226709609,68.8745999163083,78.4517581070453,64.2487695386759,68.968301571628,88.3582609679639,58.2473341372744,72.6967462782091,59.0919796675074,56.9954886801482,53.9689814465515,47.4169033264518
"BB_BR1_CB_S108_L002_1021",5.25388301228778,2.28835143768842,5.47514733855246,2.18391768603756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1043",61.6021166765712,62.1439564330043,83.8894350005291,123.513149783733,69.1461604862067,76.8168191766711,122.144962483128,120.400124038554,7.65819171032688,9.86413145770016,5.84844092533982,25.9994821824314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1047",14.6532206828196,21.9519140319332,8.63730823566608,13.7089957464691,18.4504263446356,41.4616276178364,18.9896529593898,37.4639076459485,12.5294745162164,20.2736569504775,18.3091770478063,27.8064783871771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1079",97.5640428677709,84.7560380079621,11.857899220982,42.658600035807,50.5229007635299,47.9986981536596,12.6027784388028,33.3931625191297,565.792978224902,188.441088913854,67.4257120205668,174.979253587634,25.8639498968213,32.4387425048647,13.5067845552756,12.0383656435943,24.4036870336832,29.2984425487525,9.37774283931591,13.3969135259758,21.9162723627119,18.8257633242227,14.8739835033926,17.5251489939837,14.3388571243089,19.5693955125836,14.9693593768891,13.1366018402914
"BB_BR1_CB_S108_L002_1080",53.2294956056666,48.6884135194238,12.5047132354472,33.3401674448059,14.8762730374903,16.84787986049,9.9717345668051,18.1514168926536,70.7120906587006,41.5059526683552,50.0164150077702,53.302512701203,64.1800433255648,77.1869195078101,51.3418058441723,36.2192648559045,55.4156238966725,78.7517749855333,44.8894629911816,39.4950914275232,47.3013945342208,56.9000158274144,44.0557167002429,54.3636685492303,47.491263140863,41.416047158802,46.1474377568342,48.5758049695852
"BB_BR1_CB_S108_L002_1091",9.61775523838941,6.46867421849,6.67680645752952,19.329579970364,4.08004262345874,3.86650277174503,0,4.8300398602489,13.6180638289281,28.0610812045415,9.20418634610021,36.5196781453335,3.56623940953946,5.19436709276388,1.82364159956041,2.03248462926775,2.8801660484821,6.24212059774481,0,2.07079458463538,3.72015227434657,6.03729627225241,3.87139940855931,4.95576431617806,5.41227504114311,3.77053682653205,4.74490452340993,4.65034372600511
"BB_BR1_CB_S108_L002_1112",8.53240904727057,5.83900251450036,7.01263709425971,5.89506854673453,0,2.91627147164644,0,0,3.27165294284095,3.06039708635426,0,3.5402719385699,2.99836070110847,0,3.4061400938381,2.76437948515914,3.46792362867099,0,0,0,3.50517354302602,3.096477973248,2.29649976008509,3.33964644224402,0,3.67672095626488,2.8761481225475,2.74680155805267
"BB_BR1_CB_S108_L002_1115",7.92439531417558,7.10909454358917,6.50611434082891,6.90220293581673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_113",9.21267694800648,7.88883302905248,3.50377030801042,7.27933094061207,2.19583365122788,0,0,1.51629452009824,96.0810272032614,27.6174472006799,2.07863696749992,4.46586900707722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_BR1_CB_S108_L002_1147",23.5583289319296,12.2524979820276,4.04495407332234,11.6610309584417,12.6498968069734,8.81152498271199,3.40773817068537,13.8286413544887,5.59863182539893,2.2155717828036,2.147338645983,2.67621459423171,11.3039388205575,14.2161593804958,5.68701227530112,4.09043729272397,10.2727799747413,11.9825498549093,5.7339872715942,4.12876635662721,6.60710001199699,9.39606384558922,7.58580818943788,7.43909539036483,6.04903472515446,6.34560516984362,6.65119551106264,6.62642913277847
