Contig	AN_BR1_4	AN_BR1_5	AN_BR1_6	AN_BR1_8	AN_BR2_4	AN_BR2_5	AN_BR2_6	AN_BR2_8	AN_BR3_4	AN_BR3_5	AN_BR3_6	AN_BR3_8	AN_TR1_4	AN_TR1_5	AN_TR1_6	AN_TR1_8	AN_TR2_4	AN_TR2_5	AN_TR2_6	AN_TR2_8	AN_TR3_4	AN_TR3_5	AN_TR3_6	AN_TR3_8	BB_TR1_4	BB_TR1_5	BB_TR1_6	BB_TR1_8	BB_TR2_4	BB_TR2_5	BB_TR2_6	BB_TR2_8	BB_TR3_4	BB_TR3_5	BB_TR3_6	BB_TR3_8	BB_BR1_4	BB_BR1_5	BB_BR1_6	BB_BR1_8	BB_BR2_4	BB_BR2_5	BB_BR2_6	BB_BR2_8	BB_BR3_4	BB_BR3_5	BB_BR3_6	BB_BR3_8	ML_BR1_4	ML_BR1_5	ML_BR1_6	ML_BR1_8	ML_BR2_4	ML_BR2_5	ML_BR2_6	ML_BR2_8	ML_BR3_4	ML_BR3_5	ML_BR3_6	ML_BR3_8	ML_TR1_4	ML_TR1_5	ML_TR1_6	ML_TR1_8	ML_TR2_4	ML_TR2_5	ML_TR2_6	ML_TR2_8	ML_TR3_4	ML_TR3_5	ML_TR3_6	ML_TR3_8
AN_RF_S2_1_4_S343_L004_1000_fragment_1	4842	3604	3010	5164	127	67	81	137	926	935	882	739	2	2	0	0	6	1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
AN_RF_S2_1_4_S343_L004_1003	16061	14507	13623	15360	180	340	218	314	6480	5366	7618	5028	2003	2617	1812	1775	2227	3068	2419	1520	1827	1705	1829	1671	2	0	0	1	4	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	3	6	1	7	2	5	6	3	5
AN_RF_S2_1_4_S343_L004_1008	4056	1599	969	1169	6	13	10	44	0	2	0	2	1887	2171	2813	1597	1487	1977	1077	1038	1093	1141	1351	1706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	6	0	3	0	14	0	0	4	0	0	2	0
AN_RF_S2_1_4_S343_L004_1021	8756	9524	16941	7855	32	48	32	16	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1041	5531	3726	4949	5562	32	43	32	62	914	1193	948	571	1568	2537	1897	2075	1438	2558	1546	1453	1973	1251	1415	1872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	2	0	0	1	0	0
AN_RF_S2_1_4_S343_L004_104	5074	4182	2861	5051	87	75	195	69	1491	1659	1254	1047	388	377	239	253	496	646	458	339	312	314	248	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1053	5171	14749	3826	11516	2312	3966	1122	1364	19110	21018	23221	15031	2168	2362	1764	1929	4863	2618	2018	5240	2554	1527	1468	4337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	2	2	2	2
AN_RF_S2_1_4_S343_L004_1064	16432	27531	20614	42635	33	14	34	16	8	6	3	2	1	1	4	4	1	2	2	2	2	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1073	7976	580	2251	1930	1279	654	1110	486	656	1331	557	568	4434	1851	6912	7336	3695	4033	2681	2281	4507	2251	2196	1598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	7	14	4	10	7	10	3	72	18	5	4	15	11	12	8	24	14	10	9	7	19	7	14
AN_RF_S2_1_4_S343_L004_1074	3617	4124	2820	5377	29	21	17	20	1	3	1	1	1	1	2	7	1	2	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	6	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AN_RF_S2_1_4_S343_L004_1090	9515	6146	5189	9525	61	56	98	80	2	0	0	2	364	454	377	574	300	584	585	672	235	283	328	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1101	4928	531	322	745	150	132	300	613	7	6	3	3	0	0	6	4	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0
AN_RF_S2_1_4_S343_L004_1129	3666	3415	2859	3825	152	138	108	82	68	74	43	47	18	10	11	9	15	27	16	13	5	16	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	5	0	0	7	0	11	7	1	0	1	11	0	7	0	1	5	3	0	0	0	1	0	0
AN_RF_S2_1_4_S343_L004_1142	8829	5597	4924	7587	8	18	16	14	0	0	0	0	2	0	0	6	0	0	2	10	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1147	2960	2977	3298	3696	16	20	17	14	32	15	16	12	2	3	3	6	0	1	0	2	6	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1149	1212	1149	1021	1896	21	12	18	10	609	613	592	476	14	15	21	26	13	24	15	24	10	21	17	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
AN_RF_S2_1_4_S343_L004_1155	28233	38612	30256	33809	3516	5477	2811	3996	8825	7058	5027	6558	11932	14207	13676	9360	12662	15139	14501	9957	8704	10240	9385	9574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	4	0	2	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1157	2776	3142	2344	3200	262	651	460	483	2163	1927	1796	1940	9	12	15	12	18	16	10	6	18	33	17	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1161	1523	2135	1667	2421	835	563	534	551	32	35	40	23	26	58	44	38	56	49	26	47	19	23	23	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	1	0	1	0	2	1	0	0	0	1	1	0	0	3	0	1	1	1	0	1	0
AN_RF_S2_1_4_S343_L004_1167	14376	11097	10527	16368	80	76	96	80	12	2	0	0	18	37	15	23	38	38	35	7	16	30	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	11	7	14	0	0	0	0	4	0	1	0	1	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1184	2666	1696	1028	2036	0	7	0	0	0	1	0	0	97	124	151	108	91	339	68	122	70	56	70	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1192	1615	1413	2730	1330	967	824	1300	718	6090	7945	5748	8355	178	207	275	313	118	306	152	178	109	200	220	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1194	5072	6554	6771	4353	48	57	64	68	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_11	26380	21497	20822	31565	275	240	216	264	30	39	18	15	25	15	22	19	47	35	20	16	18	14	29	28	0	1	0	2	0	1	1	2	3	0	0	1	0	1	5	2	0	2	1	2	2	0	3	0	35	25	16	5	18	5	10	13	28	28	4	1	5	12	8	10	8	11	9	16	5	20	12	23
AN_RF_S2_1_4_S343_L004_1211	5074	5812	4713	6195	928	927	820	769	2614	2721	2110	1609	117	134	103	98	80	176	130	100	127	77	97	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1223	2558	1079	1359	1590	28	5	5	16	0	4	1	7	2	3	10	2	3	6	1	4	1	3	0	1	1	2	0	0	4	0	1	2	2	1	4	2	10	6	2	9	2	4	5	3	4	1	5	1	6	17	7	17	8	3	6	10	19	21	5	26	4	1	4	3	1	1	3	2	2	0	0	0
AN_RF_S2_1_4_S343_L004_1231	2876	2451	2164	2902	442	511	449	349	774	661	736	716	66	59	55	56	105	105	91	53	82	86	73	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1234	6524	4594	3422	7118	38	42	39	48	32	19	47	29	447	236	312	311	287	374	307	163	201	226	163	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AN_RF_S2_1_4_S343_L004_123	1578	1047	740	936	5	6	4	5	24	13	18	32	7	2	4	7	5	9	3	13	8	3	4	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1242	6713	2607	5533	6664	28	58	22	35	4	0	2	0	10	3	6	14	2	13	12	29	30	9	4	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1258	10250	9136	9171	6219	70	112	126	122	96	140	56	90	81	58	78	79	62	99	47	53	62	55	82	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
AN_RF_S2_1_4_S343_L004_1283	10717	6594	7255	9125	69	41	74	93	0	5	5	13	6	15	15	14	7	12	10	8	8	5	3	2	1	2	0	0	0	2	0	0	0	2	0	0	1	0	1	0	2	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
AN_RF_S2_1_4_S343_L004_1312	3703	3494	2510	3250	41	69	90	61	144	244	192	262	0	0	2	2	2	2	0	0	4	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1315	3602	1820	1337	2033	93	272	127	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1343	5192	4618	4242	6467	2646	3706	2970	2609	1876	2188	1589	1760	1262	1811	1350	1147	1266	1725	1557	1351	1252	871	1197	923	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1371	15213	822	620	1822	2	10	2	12	0	0	0	0	62	14	42	53	325	45	37	51	37	27	280	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	4	0	6	0	0	1	0	8	2	1	8	3	7	6	10	3	9	7	4	12	6	7
AN_RF_S2_1_4_S343_L004_1384	2270	2179	2119	4559	230	172	112	57	70	30	27	32	14	6	11	5	6	9	3	7	2	1	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1397	8412	7786	7535	12510	34367	32861	31729	30847	114529	140736	114796	97947	480	722	397	775	598	702	425	900	705	246	370	988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	105	89	19	227	251	269	217	132	108	71	85	75	127	117	112	50	73	106	120	53	87	97	99
AN_RF_S2_1_4_S343_L004_142	6633	8578	7003	11201	180	219	178	122	20	17	12	10	755	963	621	744	676	1200	826	815	871	647	655	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	4
AN_RF_S2_1_4_S343_L004_1431	8050	6745	8163	9376	29	39	56	45	93	120	56	39	47	6	13	8	15	8	10	7	4	3	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1434	1914	318	1629	413	23	27	12	16	0	6	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1440	3227	2348	2387	3080	712	794	807	842	43	8	48	34	137	129	86	170	108	261	97	103	86	72	54	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1442	1226	1493	1078	1452	374	158	189	160	14	8	0	5	6	8	2	8	10	10	11	2	6	3	5	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1446	9134	415	584	629	182	86	16	6	44	78	23	30	178	66	458	104	203	127	201	149	88	97	82	92	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	6	2	1	1	1	0	1	0	1	0	1	66	61	39	57	57	50	74	92	49	104	44	46
AN_RF_S2_1_4_S343_L004_1453	875	63	42	141	14	17	16	9	23	43	14	15	23	9	19	21	33	30	21	21	19	26	23	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	44	67	13	21	33	15	28	115	77	28	174	57	42	54	54	40	50	45	47	75	47	95	44
AN_RF_S2_1_4_S343_L004_1461	11403	10510	11934	18179	67	119	48	61	4501	3442	2901	2380	515	291	384	379	406	604	320	541	297	217	332	245	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0
AN_RF_S2_1_4_S343_L004_1462	12187	7989	10620	7038	87	48	79	68	4	10	4	2	37	72	45	88	143	56	34	96	34	42	22	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1475	3193	231	223	865	18	43	78	32	501	378	239	228	45	68	120	64	51	70	58	102	60	90	45	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0
AN_RF_S2_1_4_S343_L004_148	7582	7614	6106	11027	1003	319	925	299	1044	1470	811	835	4484	4469	5185	5963	5412	6922	4039	4440	4691	4188	3836	3377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	18	16	15	7	20	15	18	19	22	15	8	5	1	0	25	2	6	2	4	2	2	7	2	4
AN_RF_S2_1_4_S343_L004_1497	8337	13274	7088	12143	325	354	296	253	77	96	96	79	23	27	10	23	17	38	17	9	23	18	18	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1498	12474	15461	13852	26733	2572	3812	2430	2516	23296	26237	19278	22216	2427	2845	2588	2556	2509	3968	2973	3104	2358	1885	2561	1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0
AN_RF_S2_1_4_S343_L004_1513	4308	3770	3036	5786	892	681	506	632	5293	4403	3602	4487	2924	3152	2348	2964	3319	3516	3153	2824	3267	1820	2217	1931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1528	2621	1942	974	1253	2	10	0	2	0	0	0	2	0	6	3	0	7	0	0	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1536	23814	10455	15904	21390	368	54	58	84	3	2	1	1	73	83	113	128	76	102	42	439	58	45	51	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	9	2	5	0	0	1	0	2	2	0	1	8	4	7	0	3	6	3	1	4	6	2
AN_RF_S2_1_4_S343_L004_1552	11057	3916	1514	2708	10	2	6	2	0	0	0	0	727	824	732	799	829	1059	1320	931	417	789	572	601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1557	3544	3423	1932	2743	734	1081	163	78	16	2	10	10	1026	458	2377	1634	1174	2239	591	851	555	1092	1397	852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2	5	1	9	3	5	2	2	4	2	5
AN_RF_S2_1_4_S343_L004_1572	1461	1057	689	620	0	5	4	0	1	0	3	0	771	849	782	766	728	875	686	522	681	684	532	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0
AN_RF_S2_1_4_S343_L004_1575	1687	1686	1378	2297	350	612	435	344	620	531	662	455	198	147	233	209	217	241	157	174	216	150	162	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	3	2	2	1	4	2	2	4	2	3	0	1	2
AN_RF_S2_1_4_S343_L004_1576	16399	18455	16936	30805	16941	18158	14840	11477	18694	21092	18253	15223	792	987	1007	1176	1118	1326	1179	1238	877	746	653	616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2
AN_RF_S2_1_4_S343_L004_1583	3517	1972	1764	3011	24	10	29	56	0	6	0	0	50	81	60	62	79	96	95	71	57	52	35	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_162	5553	5607	4729	6063	28	23	20	17	1	1	4	2	4	11	14	7	10	3	10	6	8	14	7	10	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	0	3	0	1	3	0	0	1	1	0	3	4	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2
AN_RF_S2_1_4_S343_L004_1634	8824	9832	10226	12939	144	901	168	94	8	38	22	12	88	141	52	62	70	509	128	92	68	110	100	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_163	5159	5343	3658	6303	4110	4176	3768	4169	6441	5734	5641	5602	2851	2942	3496	2629	3305	4144	3277	2920	2952	2709	2844	2429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	4	6	0	0	2	0	0	0	4	4
AN_RF_S2_1_4_S343_L004_1651	4227	4568	4165	6378	48	112	99	46	6	2	2	6	3622	5790	3744	5381	5196	6001	5101	5042	4469	3892	2863	4282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	1	1	1	2	2	3	0	4	0	0	14	4	8	7	2	6	12	8	6	2	13	8
AN_RF_S2_1_4_S343_L004_166	6895	8441	4778	7773	172	128	113	367	32	55	64	26	2	2	87	4	7	7	2	11	0	12	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1674	4111	137	348	1420	2316	3024	1045	2964	130	659	70	73	3540	1564	3733	2199	2427	5058	1629	2121	1616	2758	3110	2269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	1	2	0	1	2	2	1	10	7	7	2	3	8	4	4	0	3	6	0
AN_RF_S2_1_4_S343_L004_1681	3551	1297	1605	2319	57	26	41	52	65	58	57	67	23	45	18	45	25	59	84	27	13	28	26	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AN_RF_S2_1_4_S343_L004_1686	21537	17725	1631	15051	200	96	2109	79	3	6	2	4	29948	13035	50962	24673	26316	25798	18948	28246	21173	17003	21479	37290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	20	6	34	8	6	16	2	2	6	18	8
AN_RF_S2_1_4_S343_L004_168	50683	34927	49590	46415	606	2141	577	1847	22958	9157	65401	8142	22	30	26	28	18	56	52	33	18	10	18	24	0	1	0	0	0	0	0	0	0	0	2	2	0	4	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1694	2270	1199	1006	2629	560	562	541	601	398	449	762	385	94	155	67	147	141	144	135	232	101	96	74	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1697	4986	3778	2685	6148	47	50	65	37	214	429	252	385	1	1	2	3	1	4	4	5	0	1	2	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	10	6	26	55	41	22	11	14	7	13	22	26	24	12	6	21	13	20	7	8	8	13
AN_RF_S2_1_4_S343_L004_1698	9321	8124	5905	11152	34	47	64	34	0	4	0	6	350	456	326	468	333	452	371	312	404	286	338	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1704	5074	1903	243	794	24	6	29	22	0	0	0	0	0	5	1	0	0	2	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	1	0
AN_RF_S2_1_4_S343_L004_1710	7949	6641	5648	8219	44	30	38	40	0	0	0	0	28	4	396	14	20	14	10	6	8	2	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AN_RF_S2_1_4_S343_L004_1737	6299	8571	7552	13058	1436	2020	1918	1229	1778	1707	1650	1475	128	210	159	170	168	271	208	150	210	147	110	148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	3	0	0	1	0	1	2	0	1	0	0	0
AN_RF_S2_1_4_S343_L004_1755	2171	1697	1497	2376	37	34	46	52	184	190	113	81	48	53	35	38	28	33	65	38	40	51	37	37	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	2	2	4	2	1	1	3	3	2	7	0	0	2	3	2	1	0	2	0	0	3	2
