Contig	AN_BR1_4	AN_BR1_5	AN_BR1_6	AN_BR1_8	AN_BR2_4	AN_BR2_5	AN_BR2_6	AN_BR2_8	AN_BR3_4	AN_BR3_5	AN_BR3_6	AN_BR3_8	AN_TR1_4	AN_TR1_5	AN_TR1_6	AN_TR1_8	AN_TR2_4	AN_TR2_5	AN_TR2_6	AN_TR2_8	AN_TR3_4	AN_TR3_5	AN_TR3_6	AN_TR3_8	BB_TR1_4	BB_TR1_5	BB_TR1_6	BB_TR1_8	BB_TR2_4	BB_TR2_5	BB_TR2_6	BB_TR2_8	BB_TR3_4	BB_TR3_5	BB_TR3_6	BB_TR3_8	BB_BR1_4	BB_BR1_5	BB_BR1_6	BB_BR1_8	BB_BR2_4	BB_BR2_5	BB_BR2_6	BB_BR2_8	BB_BR3_4	BB_BR3_5	BB_BR3_6	BB_BR3_8	ML_BR1_4	ML_BR1_5	ML_BR1_6	ML_BR1_8	ML_BR2_4	ML_BR2_5	ML_BR2_6	ML_BR2_8	ML_BR3_4	ML_BR3_5	ML_BR3_6	ML_BR3_8	ML_TR1_4	ML_TR1_5	ML_TR1_6	ML_TR1_8	ML_TR2_4	ML_TR2_5	ML_TR2_6	ML_TR2_8	ML_TR3_4	ML_TR3_5	ML_TR3_6	ML_TR3_8
ML_TR1_5_S182_L004_46	4	25	9	16	9	19	20	11	11	13	12	3	1	3	2	4	2	9	0	4	2	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	202	99	45	292	216	329	225	63	63	18	97	7039	4979	5741	5811	7105	4696	8408	5705	6490	6468	6540	5694
ML_TR1_5_S182_L004_538	4	7	8	6	16	21	11	18	6	4	7	6	4	5	4	11	9	12	1	5	5	6	4	2	16	12	6	3	14	9	4	20	9	11	10	5	7	9	12	8	4	4	11	7	8	10	3	5	12	18	8	4	20	10	17	20	14	18	3	10	605	6795	1655	2490	3539	2492	1788	820	502	968	1034	1079
ML_TR1_5_S182_L004_544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	394	334	144	48	378	343	180	380	1334	1002	311	444	738	1716	1615	829	950	704	556	1111	926	1065	671	880
ML_TR1_5_S182_L004_568	2	0	4	0	2	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5344	5443	4404	1684	7494	3617	2999	4042	10090	7360	3700	6220	5770	3754	4214	4456	6124	4492	5726	3449	4316	4421	5859	3680
ML_TR1_5_S182_L004_611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	687	387	336	126	365	487	295	178	656	325	565	510	3086	3379	4171	3271	3987	5341	4296	3399	3171	4683	2988	3485
ML_TR1_5_S182_L004_661	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	424	1321	739	492	302	833	362	429	194	323	353	460
ML_TR1_5_S182_L004_748	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	52	90	2	4	2	8	17	22	8	320	4	2222	3376	2822	3171	2715	3205	3371	2930	2449	3198	2835	2551
ML_TR1_5_S182_L004_754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	347	194	111	422	142	81	82	145	94	53	1253	168	5079	556	157	800	321	2240	509	102	809	111	79
ML_TR1_5_S182_L004_783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	74	79	78	742	626	504	661	71	456	220	56	1043	6376	4986	1368	1708	4050	3104	3170	947	3687	1226	2559
ML_TR1_5_S182_L004_821	0	0	0	0	1	1	0	1	2	2	3	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	4	121	1	0	3	0	1	0	4	0	0	6160	3351	3452	5620	6240	2161	8846	4677	7660	5070	5688	5117
