"","AN_TR1_4","AN_TR1_5","AN_TR1_6","AN_TR1_8","AN_TR2_4","AN_TR2_5","AN_TR2_6","AN_TR2_8","AN_TR3_4","AN_TR3_5","AN_TR3_6","AN_TR3_8","BB_TR1_4","BB_TR1_5","BB_TR1_6","BB_TR1_8","BB_TR2_4","BB_TR2_5","BB_TR2_6","BB_TR2_8","BB_TR3_4","BB_TR3_5","BB_TR3_6","BB_TR3_8","ML_TR1_4","ML_TR1_5","ML_TR1_6","ML_TR1_8","ML_TR2_4","ML_TR2_5","ML_TR2_6","ML_TR2_8","ML_TR3_4","ML_TR3_5","ML_TR3_6","ML_TR3_8"
"BB_TR3_5_S178_L004_2996",0,0,0,0,0,0,0,0,0,0,0,0,7.16460896619555,14.217673322213,13.299071578371,2.91542287113659,8.81705897848818,10.7592391711845,19.0221789063542,18.8919377028159,11.4621651414417,11.7936092409011,11.7399409132255,8.50304331008883,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3020",0,0,0,0,0,0,0,0,0,0,0,0,9.89169754268248,8.81688241280534,10.2048378823067,10.2994524120027,8.14043436525336,8.37810706172362,10.1534931215115,7.8183869381238,8.43054444110735,6.03726093439075,7.65531246874674,7.59055267373141,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3059",0,0,0,0,0,0,0,0,0,0,0,0,8.09375765536901,8.77149584714294,8.36087988657341,5.45326322920464,6.38163847697343,8.62077706032395,14.2636285866842,12.3649483796414,8.10216510206339,8.05453888387439,8.66404389441492,6.94817365401201,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3088",0,0,0,0,0,0,0,0,0,0,0,0,6.44534698766635,5.53182196924188,4.55471331965444,6.18545593364624,3.2563504395368,4.75154586929414,6.35137135148165,5.92565705568452,4.52729942448486,4.70655094257036,4.99551322072953,4.56032944881949,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3133",0,0,0,0,0,0,0,0,0,0,0,0,7.11075816490086,4.1126486431186,5.72476025537869,4.53990771863879,6.79050949691351,4.77718150159154,6.77480348838,2.15160055634446,2.20811663385507,4.55929023255499,2.65926499275698,3.08708557560938,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3163",0,0,0,0,0,0,0,0,0,0,0,0,3.42797544250376,5.25350216168845,4.9089307285965,0,2.06545133177421,3.67530830096798,6.84632879345502,6.05289136195597,6.83770771966885,4.25394378767657,4.44569251801628,2.80092917882147,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3227",0,0,0,0,0,0,0,0,0,0,0,0,6.34629583161502,7.15873113554496,7.31442605638528,4.26444469037269,2.63528423107406,8.42125830701912,6.7561163127223,5.37796722754271,6.4635174232082,4.93912110518189,5.30881510987691,5.23265372726472,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3255",0,0,0,0,0,0,0,0,0,0,0,0,33.0769918334716,24.8104802375947,24.8212968710421,38.482256668715,15.2302844199224,26.5842543133106,22.8088567295595,21.5196709797463,23.3856025170946,17.3633655545515,25.8112200362953,23.663216445115,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3262",0,0,0,0,0,0,0,0,0,0,0,0,3.07163917751195,2.95731774549499,4.25769647066252,2.36907179375725,2.35505520982056,2.39938522665011,6.05058384781691,3.97231914772384,4.17568187491262,4.00808938470114,2.90990501020441,2.43278875448419,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3268",0,0,0,0,0,0,0,0,0,0,0,0,6.05416319095213,6.52382578905942,5.16271449737407,5.98721257960753,3.70438714468026,4.24433160040284,7.48045697840958,5.77371313764613,6.04011687053861,5.09696021384705,5.85108606634657,4.32954149803201,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_3340",0,0,0,0,0,0,0,0,0,0,0,0,9.32421584861877,9.63237082679734,9.09798892324556,7.70941254695096,7.47072545521103,5.91345628345045,12.1263398348205,8.34226192190563,7.27710570421801,6.08017223483422,6.53413249763871,7.13163138962526,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_389",0,0,0,0,0,0,0,0,0,0,0,0,7.24136345709826,5.30469004604337,5.3642917964088,4.47608137726771,2.99443801973343,4.3111297151816,5.35073345136856,4.00286881677143,4.74955653158344,3.33325337309736,5.17222148960238,5.10178055965273,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_395",0,0,0,0,0,0,0,0,0,0,0,0,5.94791341067302,5.69515163881571,6.40533740174904,5.04602818348986,4.60449558039823,4.76321476500722,6.86439658127173,5.62363581882802,4.34511154807659,3.90375000597627,4.50651447199609,4.53086165470742,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_401",0,0,0,0,0,0,0,0,0,0,0,0,10.7062600835687,7.94018209925029,10.4389778861003,8.83688601654158,6.42761705685937,7.38845574240681,9.96252063710128,6.95697061009547,7.26864309068953,5.5114638284141,7.53618278412545,7.38545150031973,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_405",0,0,0,0,0,0,0,0,0,0,0,0,8.91600360486991,7.58579555744909,8.35647060858024,5.58653120994511,5.95446281437291,6.42684765187329,9.41208723415975,9.15215054855987,7.01800921515711,5.78404007630761,6.47677278506937,6.18746665931839,0,0,0,0,0,0,0,0,0,0,0,0
