"","OTU_ID","baseMean","estimate","stderror","statistic","p.value","p.adjusted","Sig","pH_Enrichment","Comparison","Site","Type","bonferroni"
"481","ML_GL_S1_3_8_S366_L004_1845",4893.69464770797,-1.92258506556159,0.306238328254633,-6.27806805411693,3.4280587294921e-10,1.01613800548825e-08,"S","8","4_8","McLaughlin","Tech",4.08487478206278e-06
"482","ML_GL_S1_3_8_S366_L004_1892",1506.83081177913,-1.12084857140499,0.196518257423962,-5.70353404359223,1.17348587712855e-08,2.37810505303806e-07,"S","8","4_8","McLaughlin","Tech",0.000139832577118638
"483","ML_GL_S1_3_8_S366_L004_1975",551.785638251163,-24.5050919285178,3.15148858890372,-7.77571970744218,7.50196508873557e-15,3.54735777767353e-13,"S","8","4_8","McLaughlin","Tech",8.9393415997373e-11
"484","ML_GL_S1_3_8_S366_L004_3093",224.257625254893,-10.6127310958148,2.01357924470904,-5.27058029809418,1.35993114557704e-07,1.90198820782817e-06,"S","8","4_8","McLaughlin","Tech",0.0016204939530696
"485","ML_GL_S1_3_8_S366_L004_31",338.862120095373,-22.4369541708689,4.24734139730532,-5.28258787605438,1.27371705029808e-07,1.81985759848345e-06,"S","8","4_8","McLaughlin","Tech",0.0015177612371352
"486","ML_GL_S1_3_8_S366_L004_3210",51.6409697928005,-21.9576864235541,4.24765069236385,-5.16937196908122,2.34881982411461e-07,3.06891853334974e-06,"S","8","4_8","McLaughlin","Tech",0.00279885370241496
"487","ML_GL_S1_3_8_S366_L004_336",159.621062416167,-23.6449600891761,4.24720927222223,-5.56717566139719,2.58901366827007e-08,4.80540293942464e-07,"S","8","4_8","McLaughlin","Tech",0.000308506868711062
"488","ML_GL_S1_3_8_S366_L004_3389",240.205185549276,-23.1755552519773,4.14379399667029,-5.59283479598643,2.23391829308519e-08,4.30734148550212e-07,"S","8","4_8","McLaughlin","Tech",0.000266193703804031
"489","ML_GL_S1_3_8_S366_L004_3408",260.037608661981,-22.3305011034877,4.12752260035547,-5.41014629491418,6.29732842359276e-08,9.62038019173479e-07,"S","8","4_8","McLaughlin","Tech",0.000750389654955313
"490","ML_GL_S1_3_8_S366_L004_544",515.909391928366,-11.0581148959548,1.99417499133335,-5.54520788998617,2.93605117544543e-08,5.25315102201318e-07,"S","8","4_8","McLaughlin","Tech",0.000349859858066078
"491","ML_TR1_4_S181_L004_1758",3814.19707161819,1.07125309277474,0.232476985202973,4.60799632204213,4.065678533505e-06,4.41226096586936e-05,"S","4","4_8","McLaughlin","Tech",0.0484466254052456
"492","ML_TR1_4_S181_L004_1964",4279.34708064293,0.89320914100989,0.189647266613501,4.70984452852802,2.47905822753675e-06,2.75050817870837e-05,"S","4","4_8","McLaughlin","Tech",0.0295404578393279
"493","ML_TR1_4_S181_L004_33",7555.94075996627,-1.25874021463272,0.248351626037944,-5.06837919571505,4.01217495791655e-07,5.07527354549189e-06,"S","8","4_8","McLaughlin","Tech",0.00478090767985336
"494","ML_TR1_4_S181_L004_763",712.948851010544,1.81702101465456,0.280905001444265,6.46845376662002,9.90108004993098e-11,3.51134731770767e-09,"S","4","4_8","McLaughlin","Tech",1.17981269874978e-06
"495","ML_TR1_5_S182_L004_1191",459.992993564754,-21.3202171052265,2.51484572809694,-8.47774353195023,2.29603403247096e-17,1.30283531099638e-15,"S","8","4_8","McLaughlin","Tech",2.7359541530924e-13
"496","ML_TR1_5_S182_L004_1861",805.746041165657,11.8551763233432,2.48327888356927,4.77400118117363,1.80601321079184e-06,2.04956699236148e-05,"S","4","4_8","McLaughlin","Tech",0.0215204534197955
"497","ML_TR1_5_S182_L004_2931",13400.1973852219,1.41237591018779,0.144646962701585,9.76429704301229,1.60219234368617e-22,1.87173764385925e-20,"S","4","4_8","McLaughlin","Tech",1.90917239673644e-18
"498","ML_TR1_5_S182_L004_754",692.007088196333,24.5311407557274,4.2473915714468,5.77557786775268,7.66894229158956e-09,1.67368344957108e-07,"S","4","4_8","McLaughlin","Tech",9.13831163465812e-05
"499","ML_TR1_5_S182_L004_998",1333.3043017731,-23.0124348658447,4.24723026057289,-5.41822163009844,6.01947694864812e-08,9.48784223810727e-07,"S","8","4_8","McLaughlin","Tech",0.00071728087320091
"500","ML_TR1_6_S183_L004_1461",4954.09763455308,-1.05689961402684,0.195205775603782,-5.41428454541264,6.1534246531458e-08,9.55265373640339e-07,"S","8","4_8","McLaughlin","Tech",0.000733242081668854
"501","ML_TR1_6_S183_L004_1927",869.183234548013,-1.10382339115332,0.215370223249186,-5.12523678761378,2.97164042545993e-07,3.85730580716564e-06,"S","8","4_8","McLaughlin","Tech",0.00354100673097805
"502","ML_TR1_6_S183_L004_2099",1840.0802858111,-1.43947219184398,0.274228473535182,-5.249171150199,1.52785077903705e-07,2.10716086608859e-06,"S","8","4_8","McLaughlin","Tech",0.00182058698830054
"503","ML_TR1_6_S183_L004_2632",1326.69720654844,-12.5821525173295,1.37200987091783,-9.17059912179239,4.70397297258048e-20,3.33646082983744e-18,"S","8","4_8","McLaughlin","Tech",5.6052541941269e-16
"504","ML_TR1_6_S183_L004_2651",410.790448031356,-21.125949860069,2.52496623296976,-8.36682470609582,5.91916537954138e-17,3.26540623438033e-15,"S","8","4_8","McLaughlin","Tech",7.05327746626151e-13
"505","ML_TR1_6_S183_L004_2776",2665.16033062585,-1.64921822412143,0.312156861485462,-5.28329960864319,1.26877636246855e-07,1.81985759848345e-06,"S","8","4_8","McLaughlin","Tech",0.00151187391351752
"506","ML_TR1_6_S183_L004_3260",786.149029107364,-12.2254987892381,1.22157124194151,-10.008011296834,1.40549360176614e-23,2.14716176392889e-21,"S","8","4_8","McLaughlin","Tech",1.67478617586453e-19
"507","ML_TR1_6_S183_L004_3455",5113.29133711853,1.05773206731343,0.165986562159958,6.37239577438874,1.86097887372452e-10,6.25136049220103e-09,"S","4","4_8","McLaughlin","Tech",2.21754242593013e-06
"508","ML_TR1_6_S183_L004_3608",728.196052622125,-12.0611833599601,1.29886009076439,-9.28597579194385,1.60232143353608e-20,1.27288414680106e-18,"S","8","4_8","McLaughlin","Tech",1.90932622020159e-16
"509","ML_TR1_6_S183_L004_671",10805.1274007334,1.01123305377635,0.107396644199726,9.41587198847432,4.69171697325217e-21,4.051195612556e-19,"S","4","4_8","McLaughlin","Tech",5.59064994532728e-17
"510","ML_TR1_6_S183_L004_840",2793.50656388182,-1.38528549046572,0.170430581836168,-8.12815091951849,4.35888317523362e-16,2.27808999631946e-14,"S","8","4_8","McLaughlin","Tech",5.19404519160838e-12
"511","ML_TR1_6_S183_L004_965",4496.23740353801,0.997341379678592,0.175535336513756,5.68171286469397,1.33352407283001e-08,2.6483788086404e-07,"S","4","4_8","McLaughlin","Tech",0.000158902728518424
"512","ML_TR1_8_S184_L004_131",567.138902768792,-11.596517819322,1.99673616299688,-5.80773666257282,6.33230082729867e-09,1.42908516397899e-07,"S","8","4_8","McLaughlin","Tech",7.54556966580909e-05
"513","ML_TR1_8_S184_L004_1934",919.457810445728,-12.5251549906505,1.22018754553441,-10.264942497151,1.01381356845091e-24,2.0134337469435e-22,"S","8","4_8","McLaughlin","Tech",1.2080602481661e-20
"514","ML_TR1_8_S184_L004_2126",287.951143841086,-24.8235731666543,3.70802315022493,-6.69455722388048,2.16325623445632e-11,8.7678099625107e-10,"S","8","4_8","McLaughlin","Tech",2.57773612897815e-07
"515","ML_TR1_8_S184_L004_2384",12621.5191354705,1.25668507620626,0.185134234242672,6.78796701942772,1.13724638775799e-11,4.70535692934866e-10,"S","4","4_8","McLaughlin","Tech",1.35514279565242e-07
"516","ML_TR1_8_S184_L004_270",1738.20756685554,-1.13412715500214,0.227255564530146,-4.9905363476884,6.02118686244492e-07,7.38152907951581e-06,"S","8","4_8","McLaughlin","Tech",0.00717484626528937
"517","ML_TR1_8_S184_L004_3784",3051.35530329327,-1.91647671527867,0.315207665904036,-6.0800447532965,1.20149008310812e-09,3.2245396014226e-08,"S","8","4_8","McLaughlin","Tech",1.43169558303163e-05
"518","ML_TR1_8_S184_L004_409",1379.81986403691,-1.56877131726154,0.252211167236541,-6.22007080198095,4.96930591312159e-10,1.37070021436937e-08,"S","8","4_8","McLaughlin","Tech",5.92142492607569e-06
"519","ML_TR2_4_S185_L004_2402",420.792625392296,26.9893039404373,4.24710918190891,6.3547469077088,2.08770063962557e-10,6.79700568901046e-09,"S","4","4_8","McLaughlin","Tech",2.48770408217783e-06
"520","ML_TR2_4_S185_L004_2536",3729.56434859283,1.08929224867264,0.17472910464677,6.23417747646984,4.5415796933697e-10,1.28851103871889e-08,"S","4","4_8","McLaughlin","Tech",5.41174636261934e-06
"521","ML_TR2_5_S186_L004_1317",860.903583824195,-12.0720678198804,1.31233257512777,-9.19893939133915,3.61500129283912e-20,2.76130483368404e-18,"S","8","4_8","McLaughlin","Tech",4.3076355405471e-16
"522","ML_TR2_5_S186_L004_1374",460.117960809091,-11.0271619725799,1.32696287868769,-8.31007569969506,9.56410412362735e-17,5.13359751068214e-15,"S","8","4_8","McLaughlin","Tech",1.13965864737143e-12
"523","ML_TR2_5_S186_L004_1485",420.333075424239,-22.9421743272737,4.2472502035534,-5.40165359414885,6.60293670778861e-08,1.00102536653956e-06,"S","8","4_8","McLaughlin","Tech",0.000786805938100091
"524","ML_TR2_5_S186_L004_1581",685.138929463209,-22.9944105952042,3.80242656927857,-6.04729905397408,1.47294202272801e-09,3.84903007518136e-08,"S","8","4_8","McLaughlin","Tech",1.7551577142827e-05
"525","ML_TR2_5_S186_L004_1860",996.762032117178,-11.959628125517,1.35072971736518,-8.85419782489587,8.42877813357155e-19,4.92339805096267e-17,"S","8","4_8","McLaughlin","Tech",1.00437320239639e-14
"526","ML_TR2_5_S186_L004_1950",1412.68741981254,-12.8781383153761,1.97021243400337,-6.53642119657542,6.30083122949746e-11,2.3173057077374e-09,"S","8","4_8","McLaughlin","Tech",7.50807049306918e-07
"527","ML_TR2_5_S186_L004_2615",690.781353162242,23.1045446093968,4.24801894977626,5.43889866842842,5.36109339942209e-08,8.74328197480265e-07,"S","4","4_8","McLaughlin","Tech",0.000638827889475137
"528","ML_TR2_5_S186_L004_267",1059.66947157213,-12.8869846989712,1.95290576542933,-6.59887687726609,4.14284177938034e-11,1.58224687958641e-09,"S","8","4_8","McLaughlin","Tech",4.93661026430961e-07
"529","ML_TR2_5_S186_L004_2686",266.089908407498,-9.65070037132314,2.00488034448313,-4.8136041624026,1.48232282039196e-06,1.71156576819676e-05,"S","8","4_8","McLaughlin","Tech",0.0176633587277906
"530","ML_TR2_5_S186_L004_2742",589.429406672297,-11.4364688890898,1.24687867611247,-9.17207833303121,4.63985658055021e-20,3.33646082983744e-18,"S","8","4_8","McLaughlin","Tech",5.52885310138363e-16
"531","ML_TR2_5_S186_L004_2821",690.782355036099,-11.8588715598873,1.25780272763493,-9.42824442922438,4.17009850536093e-21,3.76446165074855e-19,"S","8","4_8","McLaughlin","Tech",4.96908937898808e-17
"532","ML_TR2_5_S186_L004_704",480.999739299097,24.60906050421,3.10531746915837,7.92481308227715,2.28489766957792e-15,1.13445169294544e-13,"S","4","4_8","McLaughlin","Tech",2.72268406306905e-11
"533","ML_TR2_6_S187_L004_1215",5120.51306649463,-1.45638990577457,0.221004858562869,-6.58985469932675,4.40257225182685e-11,1.6497185834204e-09,"S","8","4_8","McLaughlin","Tech",5.24610509527688e-07
"534","ML_TR2_6_S187_L004_1488",248.361602270567,-10.6272235265723,1.95964379288223,-5.42303839359592,5.85944008348249e-08,9.30947840463698e-07,"S","8","4_8","McLaughlin","Tech",0.000698210880347773
"535","ML_TR2_6_S187_L004_1494",2932.46124858723,-1.58707076701169,0.150242848297777,-10.5633698042396,4.40556517951773e-26,1.09368155581528e-23,"S","8","4_8","McLaughlin","Tech",5.24967146791333e-22
"536","ML_TR2_6_S187_L004_2193",6323.44602269963,0.695622232536328,0.121232064410829,5.73793934729197,9.58354220966182e-09,1.98259529462379e-07,"S","4","4_8","McLaughlin","Tech",0.00011419748897033
"537","ML_TR2_6_S187_L004_2422",1782.19623420529,-1.40600550348975,0.240010970421044,-5.85808849080207,4.68225154685486e-09,1.1340184843968e-07,"S","8","4_8","McLaughlin","Tech",5.57937094323225e-05
"538","ML_TR2_6_S187_L004_2607",575.844913052892,-23.4020526880846,4.24723439355183,-5.50995083379756,3.58933941612754e-08,6.25300708809588e-07,"S","8","4_8","McLaughlin","Tech",0.000427705684825758
"539","ML_TR2_6_S187_L004_3848",929.978466238386,-11.7055088415816,1.99297757007156,-5.87337711039135,4.27005598293404e-09,1.04695446692679e-07,"S","8","4_8","McLaughlin","Tech",5.08819870926421e-05
"540","ML_TR2_6_S187_L004_77",786.980318688547,1.72354401811996,0.310300297347617,5.55443882217472,2.78505030668889e-08,5.02828173553103e-07,"S","4","4_8","McLaughlin","Tech",0.000331866594545048
"541","ML_TR2_8_S188_L004_1004",18292.5291446605,-1.05947568131683,0.190203493500879,-5.57022198602219,2.54414976551709e-08,4.7666805984122e-07,"S","8","4_8","McLaughlin","Tech",0.000303160886059016
"542","ML_TR2_8_S188_L004_1128",541.767839351215,-12.0797771627883,1.3243669048686,-9.12117111835172,7.43168492460989e-20,4.78297590829653e-18,"S","8","4_8","McLaughlin","Tech",8.85559575616515e-16
"543","ML_TR2_8_S188_L004_1746",380.013216642982,-11.4407306142856,1.25751367869069,-9.09789754827761,9.20973142966108e-20,5.7157895685334e-18,"S","8","4_8","McLaughlin","Tech",1.09743159715841e-15
"544","ML_TR2_8_S188_L004_536",135.043072868751,-9.54835654205438,1.29433353971601,-7.3770448258255,1.61841530591552e-13,7.47482045941445e-12,"S","8","4_8","McLaughlin","Tech",1.92850367852893e-09
"545","ML_TR3_4_S189_L004_1511",19211.1175025612,-0.742907418290262,0.126880712628081,-5.85516429489095,4.76538685813151e-09,1.14024798798183e-07,"S","8","4_8","McLaughlin","Tech",5.67843498014951e-05
"546","ML_TR3_4_S189_L004_2294",20225.6291460439,-1.38808552663175,0.253291538242838,-5.48018909854366,4.24871492022382e-08,7.15080324708857e-07,"S","8","4_8","McLaughlin","Tech",0.000506276869893871
"547","ML_TR3_5_S190_L004_2219",23706.4529479329,0.839616220158391,0.14881010681427,5.6421988945033,1.6789198758435e-08,3.30132165685662e-07,"S","4","4_8","McLaughlin","Tech",0.000200060092405511
"548","ML_TR3_5_S190_L004_93",3361.95470524685,-1.18941470327779,0.204797526717759,-5.80775911867813,6.33145181876904e-09,1.42908516397899e-07,"S","8","4_8","McLaughlin","Tech",7.54455798724518e-05
"549","ML_TR3_6_S191_L004_1094",2299.76503097384,-14.2003811559363,1.33468882055595,-10.6394696181101,1.95237502934451e-26,5.53916686896884e-24,"S","8","4_8","McLaughlin","Tech",2.32645008496691e-22
"550","ML_TR3_6_S191_L004_1128",1385.48800601652,-13.0118513796156,1.21605398223533,-10.7000606631767,1.01711607527209e-26,4.03998505098073e-24,"S","8","4_8","McLaughlin","Tech",1.21199551529422e-22
"551","ML_TR3_6_S191_L004_2765",2475.36836216955,1.02565121413094,0.2096823864635,4.89145145393259,1.00095083274387e-06,1.19035230768223e-05,"S","4","4_8","McLaughlin","Tech",0.0119273301229759
"552","ML_TR3_6_S191_L004_499",5106.66932239098,-1.5525375569998,0.238568939554329,-6.50771034947005,7.63048635854692e-11,2.75529925601349e-09,"S","8","4_8","McLaughlin","Tech",9.0924875448445e-07
"553","ML_TR3_6_S191_L004_548",6133.10876826139,-14.5510163998331,1.24941300376098,-11.6462821789366,2.39689402845475e-31,4.76023154051113e-28,"S","8","4_8","McLaughlin","Tech",2.85613892430668e-27
"554","ML_TR3_8_S192_L004_1866",8929.50411307461,-0.966748419209118,0.119401868413923,-8.09659373049133,5.65194327836404e-16,2.87814342328999e-14,"S","8","4_8","McLaughlin","Tech",6.73485561049858e-12
"555","ML_TR3_8_S192_L004_1979",2205.17468106854,-1.6806730381279,0.337483672786854,-4.98001288254726,6.35800408104048e-07,7.74662337726773e-06,"S","8","4_8","McLaughlin","Tech",0.00757619766296784
